Organization,Investors
VivaReal,"500 Startups, Spark Capital, Monashees, FJ Labs, Kaszek Ventures"
QuintoAndar,"SoftBank, General Atlantic, Dragoneer Investment Group, Kaszek Ventures, Qualcomm Ventures"
Revelo,"FJ Labs, Social Capital, Google Launchpad Accelerator, Valor Capital Group, GE32 Capital"
FormaFina,"500 Startups, Plug and Play, Start-Up Chile, Redpoint eventures, NXTP Ventures"
Nubank,"Tencent Holdings, Founders Fund, Goldman Sachs, Sequoia Capital, Dragoneer Investment Group"
Creditas,"SoftBank, SoftBank Vision Fund, Kaszek Ventures, Vostok Emerging Finance, Endeavor Catalyst"
GuiaBolso,"Ribbit Capital, Kaszek Ventures, Vostok Emerging Finance, Endeavor Catalyst, International Finance Corporation"
Idwall,"500 Startups, Monashees, Canary, Qualcomm Ventures, Justin Mateen"
Olist,"SoftBank, 500 Startups, FJ Labs, DeNA, Endeavor Catalyst"
Volanty,"SoftBank, Monashees, Kaszek Ventures, Canary, Social Capital"
Loggi,"SoftBank, Google, Dragoneer Investment Group, SoftBank Vision Fund, GGV Capital"
Shippify,"1776 Ventures, MVI (MENA Venture Investments), Aramex International, Fadi Ghandour, Start-Up Brasil"
Loft,"Andreessen Horowitz, Monashees, Fifth Wall, Canary, Vulcan Capital"
Ingresse,"500 Startups, FJ Labs, Qualcomm Ventures, e.bricks Ventures, DGF Investimentos"
EmCasa,"Monashees, Canary, Dorm Room Fund, ONEVC, Pear Ventures"
Mandaê,"Monashees, FJ Labs, Kima Ventures, Qualcomm Ventures, International Finance Corporation"
Winnin,"Leste Investimentos, Coca-Cola Founders, Luiz Meisler, Cristiano Souza, João Machado"
Gympass,"General Atlantic, SoftBank Vision Fund, Kaszek Ventures, Atomico, Valor Capital Group"
REBEL,"Amazon Web Services, Monashees, Franklin Templeton Investments, Google Launchpad Accelerator, Al Goldstein"
RecargaPay,"FJ Labs, DN Capital, Fabrice Grinda, TheVentureCity Fund, Ventech"
InstaCarro.com,"FundersClub, Global Founders Capital, FJ Labs, Hummingbird Ventures, Lumia Capital"
Printi,"Fabrice Grinda, SanDisk, VistaPrint, Joseph Lonsdale, Cap-Meridian Ventures"
Submarino,"Goldman Sachs, Kohlberg Kravis Roberts, Warburg Pincus, Chase Capital Partners, Flatiron Partners"
Kovi,"Y Combinator, Global Founders Capital, Monashees, Justin Mateen, ONEVC"
Contabilizei,"Kaszek Ventures, Endeavor Catalyst, International Finance Corporation, Google Launchpad Accelerator, Point72 Ventures"
Infracommerce,"Valor Capital Group, transcosmos inc, Fabrice Grinda, e.bricks Ventures, TransCosmos"
Neon,"General Atlantic, Monashees, Omidyar Network, Propel Venture Partners, Quona Capital"
Wildlife Studios,"Bessemer Venture Partners, GE32 Capital, Benchmark, Meyer Malka, Divesh Makan"
Neoway,"Temasek Holdings, Monashees, Accel, Endeavor Catalyst, Andrew Prozes"
DogHero,"Rover, Global Founders Capital, Monashees, Kaszek Ventures, Google Launchpad Accelerator"
Rock Content,"Start-Up Chile, e.bricks Ventures, Media Development Investment Fund, Grupo RBS, Napkn Ventures"
Spring Global,"Goldman Sachs, Sapphire Ventures, New Enterprise Associates, Intel Capital, SOFTBANK Latin America Ventures"
Nuvem Shop,"Kaszek Ventures, Fabrice Grinda, NXTP Ventures, Meyer Malka, Jose Marin"
RD Station,"TPG, TPG Growth, Endeavor Catalyst, Redpoint eventures, DGF Investimentos"
ContaAzul,"500 Startups, Ribbit Capital, Tiger Global Management, Monashees, Valar Ventures"
Dr.consulta,"Kaszek Ventures, Endeavor Catalyst, Omidyar Network, Lifeforce Capital, Madrone Capital Partners"
Pitzi,"Kaszek Ventures, QED Investors, Fabrice Grinda, Thrive Capital, Flybridge Capital Partners"
Easy Taxi,"Rocket Internet, HV Holtzbrinck Ventures, TEV Ventures, iMENA Group, Phenomen Ventures"
Magnetis,"500 Startups, Monashees, Vostok Emerging Finance, Redpoint eventures, Sergio Furio"
Bidu,"Monashees, Amadeus Capital Partners, Bertelsmann, Otto Capital, João Herreros"
Contentools,"500 Startups, Bossa Nova Investimentos, GrowthX, LAUNCH, Distrito Ventures"
Torcedores.com,"Play Intellectual Capital, Pedro Navio, Derek Hall, Stone Participações S.A, Eduardo Grinberg"
GetNinjas,"Tiger Global Management, Monashees, Kaszek Ventures, Google Launchpad Accelerator, Otto Group"
Cobli,"Fifth Wall, Harvard Business School, Valor Capital Group, NXTP Ventures, Fundação de Amparo à Pesquisa do Estado de SP"
Agrosmart,"SP Ventures, SVG Ventures, Banco Bradesco, Start-Up Brasil, InovaBRA"
SaferTaxi,"Kaszek Ventures, Draper Associates, Start-Up Chile, Google Launchpad Accelerator, Avalancha Ventures"
AoCubo,"Kria, Brian Requarth, Simon Baker, Renan Constantino, Cristiano Kanashiro"
NAZAR,"500 Startups, Wayra, Start-Up Chile, ACE Startups, LAUNCH"
Pinmypet,"500 Startups, Crescera Investimentos (f/k/a Bozano Investimentos), WOW Aceleradora, Start-Up Brasil, Triaxis Capital"
Trakto.io,"Plug and Play, Bossa Nova Investimentos, Abril, Paulo Tenorio, Joao Kepler Braga"
Boi na Linha,"Microsoft for Startups, FbStart, Olivier Colas, André Bernardini, Bertrand Chaverot"
Solinftec,"AgFunder, TPG Alternative & Renewable Technologies, Itaú BBA International plc, Unbox Capital, Gaia Securitizations"
Docket,"Wayra, Kaszek Ventures, Canary, Valor Capital Group, ONEVC"
MadeiraMadeira,"SoftBank, Monashees, Kaszek Ventures, Light Street Capital, Flybridge Capital Partners"
Zoop,"Movile, Qualcomm Ventures, Riverwood Capital, Avalancha Ventures, Darwin Capital"
Escale,"Global Founders Capital, Kaszek Ventures, QED Investors, Redpoint eventures, Invus"
FinanZero,"Vostok Emerging Finance, Webrock Ventures, Atlant Fonder AB, Zentro Founders, Dunross & Co"
iFood,"Movile, Just Eat, Prosus & Naspers, Innova Capital Consultoria Ltda (Brazil), Warehouse Investimentos"
ViajaNet,"General Catalyst, Redpoint, Fabrice Grinda, Redpoint eventures, Pinnacle Ventures"
Passei Direto,"Valor Capital Group, Redpoint eventures, Crescera Investimentos (f/k/a Bozano Investimentos), e.ventures, Grupo Xango"
Skore,"Wayra, Redpoint eventures, Invest Tech, Barn Investments, Leonardo Teixeira"
BoaConsulta,"500 Startups, Valor Capital Group, Performa Investimentos, Kees Koolen, Trindade Investimentos"
Hand Talk,"Kviv Ventures, Joao Kepler Braga, Sergio Papini, Evandro Lobo, Nuno Abreu"
Alicerce,"Canary, Valor Capital Group, Eduardo Mufarej, Paulo Batista, Jair Ribeiro"
EASYCRÉDITO,"Kria, Crescera Investimentos (f/k/a Bozano Investimentos), Start-Up Brasil, Anjos do Brasil, Ventiur Aceleradora"
Mind Lab,"Monashees, Accel, Meritech Capital Partners, MHS Capital, Inter American Development Bank"
Flapper Technologies,"ACE Startups, Confrapar, Paul Malicki, Fabio Cristilli, Arthur Virzin"
Wedy,"Chromo Invest, 42K Investimentos, Claude Ricci, Sergio Salfatis, Marco Poli"
GlobalYeast,"SoFi, PMV, Performa Investimentos, VIB, University of Leuven"
Shoes4you,"Accel, Redpoint, Fabrice Grinda, Flybridge Capital Partners, Romero Rodrigues"
IntooBR,"Wayra, Monashees, Redpoint, Accion Venture Lab, MercandoLivre.com"
Fleety,"Plug and Play, Abril, Servix, Maikon Alves, Vitor Vianna"
Marerua Ltd,"Kees Koolen, Jonathan Coon, Levinthal Capital, Peter Fernandez, Eduardo Steiner"
Movile,"Prosus & Naspers, MIH, Innova Capital Consultoria Ltda (Brazil), Rio Bravo"
Vindi,"Bio Ritmo, Crescera Investimentos (f/k/a Bozano Investimentos), Criatec 2, Rodrigo Dantas"
BizCapital,"Monashees, Quona Capital, Chromo Invest, 42K Investimentos"
Bom Pra Crédito,"Astella Investimentos, SP Ventures, Innova Capital Consultoria Ltda (Brazil), Grupo Globo"
Nibo,"Vostok Emerging Finance, Valor Capital Group, Redpoint eventures, Marcelo Sampaio"
