Investors,Location
Monashees,Brazil
ACE Startups,Brazil
Kaszek Ventures,Brazil
Canary,Brazil
Redpoint eventures,Brazil
WOW Aceleradora,Brazil
Crescera Investimentos (f/k/a Bozano Investimentos),Brazil
Darwin Startups,Brazil
GE32 Capital,Brazil
Mindset Ventures,Brazil
e.bricks Ventures,Brazil
CRP Companhia de Participações,Brazil
SP Ventures,Brazil
Inseed Investimentos,Brazil
DGF Investimentos,Brazil
Confrapar,Brazil
Invest Tech,Brazil
Astella Investimentos,Brazil
Cotidiano,Brazil
Start-Up Brasil,Brazil
Chromo Invest,Brazil
Criatec 2,Brazil
CVENTURES,Brazil
Bossa Nova Investimentos,Brazil
IndicatorCapital,Brazil
DOMO Invest,Brazil
MAYA Capital,Brazil
Duxx Investimentos,Brazil
Performa Investimentos,Brazil
Triple Seven Investments,Brazil
DNA Capital,Brazil
GO4IT,Brazil
Innova Capital Consultoria Ltda (Brazil),Brazil
Ideiasnet,Brazil
Polaris Investimentos,Brazil
Bzplan,Brazil
21212,Brazil
Triaxis Capital,Brazil
SEED MG,Brazil
Barn Investments,Brazil
Distrito Ventures,Brazil
Criatec Fund,Brazil
STI Ventures,Brazil
Vox Capital,Brazil
ArpexCapital,Brazil
AdInvest,Brazil
BTG Pactual,Brazil
Construtech Ventures,Brazil
KICK Ventures,Brazil
Gera Venture Capital,Brazil
Kria,Brazil
Pitanga Fund,Brazil
The Brazilian Development Bank(BNDES),Brazil
Trindade Investimentos,Brazil
Base Partners,Brazil
Patria Investimentos,Brazil
Iporanga Ventures,Brazil
Capital Lab Ventures,Brazil
BR Startups,Brazil
Gvangels,Brazil
W7 Venture Capital,Brazil
Gávea Angels,Brazil
42K Investimentos,Brazil
HIX Capital,Brazil
Plataforma Capital Partners,Brazil
Ventiur Aceleradora,Brazil
Lab22.co,Brazil
Kinea Investimentos Ltda,Brazil
hi.capital,Brazil
Startup Farm,Brazil
A5 Capital Partners,Brazil
DXA Investments,Brazil
Darwin Capital,Brazil
Bolt Ventures,Brazil
EB Capital,Brazil
Eclipseon Ventures,Brazil
Anjos do Brasil,Brazil
Baita Accelerator,Brazil
bake startup studio,Brazil
The Jump Brazil,Brazil
FINEP,Brazil
GRP - Gestão de Recursos e Participações,Brazil
T-BDH Capital,Brazil
Gávea Investimentos,Brazil
Loyall Capital Partners,Brazil
Yellow Ventures,Brazil
Fir Capital,Brazil
Altivia Ventures,Brazil
AEM Capital,Brazil
Acelera Partners,Brazil
Stratus Group,Brazil
Lotus Venture Investments,Brazil
Verus Group,Brazil
Poli Angels,Brazil
Pipa,Brazil
BR Opportunities,Brazil
GVentures,Brazil
Santerra Participacoes Ltda,Brazil
Totvs Ventures,Brazil
Abril Participações,Brazil
FAPESC - Fundação de Amparo à Pesquisa e Inovação,Brazil
Vindi,Brazil
Positive Ventures,Brazil
Vinci Partners,Brazil
Start Me Up,Brazil
FCJ Venture Builder,Brazil
OBr.global,Brazil
OM2,Brazil
Fundacity,Brazil
Provence Capital,Brazil
Kviv Ventures,Brazil
Oria Capital,Brazil
IG4 Capital,Brazil
GRID Investments,Brazil
Papaya Ventures,Brazil
Fuse Capital,Brazil
Bridge One,Brazil
InovaBRA,Brazil
Spectra Investments,Brazil
Brazilian Family Office,Brazil
Lanx Capital,Brazil
MSW Capital,Brazil
Green Rock Family Office,Brazil
OpenVC,Brazil
Warehouse Investimentos,Brazil
Inventure Management,Brazil
Liga Ventures,Brazil
DLM Invista,Brazil
Hemisfério Sul Investimentos,Brazil
Dorset Capital,Brazil
Solum VC,Brazil
Techmall,Brazil
Unique Partners,Brazil
TMG Capital,Brazil
techtools ventures,Brazil
Gema Ventures,Brazil
Brazil Warrant,Brazil
Impar Invest,Brazil
UC Capital,Brazil
Inovam,Brazil
Inova Ventures Participações,Brazil
BMG UpTech,Brazil
Colina Capital,Brazil
GTAC Solutions,Brazil
NH Investimentos,Brazil
Votorantim Novos Negocios,Brazil
Mantiq Investimentos,Brazil
Real Capital Partners,Brazil
Mare Investimentos,Brazil
DLV Participações,Brazil
Master Minds Capital,Brazil
3IN Capital is a venture-capital like investment firm that focuses on start-up companies.,Brazil
Ideiasfund Brazil,Brazil
ONEVC,Brazil
Valor Capital Group,Brazil
